iter	Passed	Remaining
0	168	168618
1	171	85724
2	174	58097
3	177	44143
4	179	35743
5	181	30118
6	184	26183
7	187	23225
8	188	20809
9	190	18889
10	192	17313
11	194	15980
12	195	14844
13	197	13900
14	199	13085
15	200	12342
16	201	11674
17	203	11076
18	204	10539
19	205	10057
20	206	9616
21	207	9221
22	208	8857
23	209	8516
24	210	8207
25	211	7934
26	212	7673
27	213	7427
28	214	7193
29	215	6977
30	216	6773
31	217	6582
32	218	6401
33	219	6227
34	219	6064
35	220	5911
36	221	5766
37	222	5630
38	223	5499
39	224	5379
40	224	5261
41	225	5151
42	226	5047
43	227	4946
44	228	4846
45	229	4751
46	229	4659
47	230	4572
48	231	4488
49	232	4408
50	232	4333
51	233	4259
52	234	4188
53	235	4119
54	235	4053
55	236	3988
56	237	3929
57	238	3870
58	239	3816
59	240	3765
60	241	3716
61	242	3664
62	242	3613
63	243	3564
64	244	3517
65	245	3470
66	246	3425
67	246	3381
68	247	3338
69	248	3297
70	248	3257
71	249	3217
72	250	3183
73	251	3146
74	252	3110
75	252	3075
76	253	3043
77	254	3013
78	256	2984
79	256	2953
80	257	2922
81	258	2893
82	258	2860
83	259	2831
84	260	2802
85	261	2774
86	261	2746
87	262	2719
88	263	2692
89	263	2666
90	264	2641
91	265	2617
92	265	2593
93	266	2569
94	267	2546
95	268	2525
96	269	2504
97	270	2486
98	271	2467
99	272	2448
100	272	2427
101	273	2407
102	274	2387
103	274	2368
104	275	2350
105	276	2331
106	277	2313
107	277	2295
108	278	2277
109	279	2260
110	280	2243
111	280	2226
112	281	2210
113	282	2194
114	283	2179
115	284	2164
116	284	2149
117	285	2137
118	286	2122
119	287	2107
120	288	2093
121	288	2078
122	289	2064
123	290	2050
124	290	2036
125	291	2023
126	292	2008
127	292	1995
128	293	1983
129	294	1970
130	295	1958
131	295	1945
132	296	1933
133	297	1921
134	298	1911
135	299	1902
136	300	1891
137	300	1880
138	301	1868
139	302	1857
140	303	1847
141	303	1835
142	304	1824
143	305	1814
144	305	1803
145	306	1793
146	307	1783
147	307	1773
148	308	1763
149	309	1753
150	310	1744
151	310	1734
152	311	1725
153	312	1716
154	313	1708
155	314	1700
156	315	1692
157	315	1683
158	316	1675
159	317	1666
160	317	1656
161	318	1648
162	319	1639
163	320	1631
164	320	1623
165	321	1615
166	322	1607
167	323	1599
168	323	1591
169	324	1584
170	325	1576
171	325	1568
172	326	1561
173	327	1555
174	328	1550
175	329	1544
176	330	1537
177	331	1530
178	332	1523
179	332	1515
180	333	1508
181	334	1501
182	334	1495
183	335	1488
184	336	1481
185	337	1474
186	337	1468
187	338	1462
188	339	1455
189	339	1449
190	340	1443
191	341	1436
192	342	1432
193	343	1427
194	344	1421
195	345	1415
196	345	1409
197	346	1403
198	347	1397
199	348	1392
200	348	1386
201	349	1380
202	350	1374
203	350	1369
204	351	1363
205	352	1357
206	352	1352
207	353	1346
208	354	1341
209	355	1335
210	355	1330
211	356	1325
212	357	1321
213	358	1318
214	359	1314
215	360	1309
216	361	1304
217	362	1299
218	362	1293
219	363	1288
220	364	1283
221	364	1278
222	365	1274
223	366	1269
224	367	1264
225	367	1259
226	368	1254
227	369	1249
228	369	1245
229	370	1240
230	371	1235
231	372	1231
232	373	1228
233	374	1224
234	374	1220
235	375	1216
236	376	1211
237	377	1207
238	377	1202
239	378	1198
240	379	1194
241	379	1189
242	380	1185
243	381	1181
244	381	1177
245	382	1172
246	383	1168
247	384	1164
248	384	1160
249	385	1156
250	386	1152
251	387	1149
252	388	1146
253	389	1142
254	389	1138
255	390	1134
256	391	1130
257	391	1127
258	392	1123
259	393	1119
260	394	1115
261	394	1111
262	395	1108
263	396	1104
264	396	1100
265	397	1097
266	398	1093
267	399	1089
268	399	1086
269	400	1083
270	401	1079
271	402	1076
272	403	1074
273	404	1071
274	405	1068
275	405	1064
276	406	1061
277	407	1057
278	407	1054
279	408	1051
280	409	1047
281	410	1044
282	410	1041
283	411	1037
284	412	1034
285	413	1031
286	413	1028
287	414	1024
288	415	1021
289	416	1018
290	417	1016
291	418	1014
292	419	1011
293	419	1008
294	420	1005
295	421	1002
296	422	999
297	422	996
298	423	993
299	424	990
300	425	987
301	425	983
302	426	980
303	427	978
304	427	975
305	428	972
306	429	969
307	430	966
308	430	963
309	432	961
310	433	959
311	434	957
312	434	954
313	435	951
314	436	948
315	437	945
316	437	943
317	438	940
318	439	937
319	439	934
320	440	931
321	441	929
322	441	926
323	442	923
324	443	920
325	444	918
326	444	915
327	445	913
328	446	911
329	448	909
330	449	907
331	450	905
332	450	902
333	451	900
334	452	897
335	453	895
336	453	893
337	454	890
338	455	887
339	456	885
340	456	882
341	457	880
342	458	877
343	458	875
344	459	873
345	460	871
346	461	868
347	462	866
348	463	863
349	463	861
350	464	858
351	465	856
352	466	854
353	466	851
354	467	849
355	468	846
356	468	844
357	469	842
358	470	839
359	471	837
360	471	835
361	472	833
362	473	830
363	474	828
364	475	826
365	476	824
366	477	822
367	477	820
368	478	818
369	479	816
370	480	813
371	480	811
372	481	809
373	482	807
374	482	804
375	483	802
376	484	800
377	484	798
378	485	795
379	486	793
380	487	791
381	487	789
382	488	787
383	489	785
384	490	783
385	491	781
386	492	779
387	492	777
388	493	775
389	494	773
390	494	770
391	495	768
392	496	766
393	497	764
394	497	762
395	498	760
396	499	758
397	500	756
398	500	754
399	501	752
400	502	750
401	503	748
402	504	747
403	505	745
404	506	743
405	507	741
406	507	739
407	508	737
408	509	735
409	509	733
410	510	731
411	511	729
412	511	727
413	512	725
414	513	723
415	514	721
416	514	719
417	515	717
418	516	715
419	516	713
420	517	711
421	518	709
422	519	708
423	520	706
424	520	704
425	521	702
426	522	700
427	523	699
428	523	697
429	524	695
430	525	693
431	526	691
432	526	689
433	527	687
434	528	685
435	528	684
436	529	682
437	530	680
438	531	679
439	533	679
440	535	678
441	536	676
442	536	675
443	537	673
444	538	671
445	539	670
446	540	668
447	542	667
448	543	666
449	544	665
450	545	663
451	546	662
452	547	661
453	549	661
454	553	663
455	554	661
456	555	660
457	557	659
458	558	657
459	559	656
460	560	655
461	561	654
462	562	652
463	565	652
464	566	652
465	567	650
466	569	649
467	570	648
468	571	646
469	572	646
470	573	644
471	575	643
472	576	641
473	577	640
474	578	639
475	579	637
476	580	636
477	581	635
478	582	633
479	583	631
480	583	630
481	584	628
482	585	626
483	586	624
484	586	623
485	587	621
486	588	619
487	589	617
488	589	616
489	590	614
490	591	612
491	591	611
492	592	609
493	593	607
494	594	606
495	606	616
496	607	614
497	607	612
498	608	611
499	609	609
500	610	607
501	611	606
502	612	604
503	612	603
504	613	601
505	614	599
506	615	598
507	615	596
508	616	594
509	617	593
510	617	591
511	618	589
512	619	587
513	620	586
514	620	584
515	621	582
516	622	581
517	622	579
518	623	578
519	624	576
520	625	575
521	626	573
522	627	572
523	628	570
524	628	569
525	629	567
526	630	565
527	631	564
528	631	562
529	632	560
530	633	559
531	634	557
532	634	556
533	635	554
534	636	552
535	636	551
536	637	549
537	638	548
538	638	546
539	639	545
540	640	543
541	641	542
542	642	540
543	643	539
544	643	537
545	644	535
546	645	534
547	646	532
548	646	531
549	647	529
550	648	528
551	648	526
552	649	525
553	650	523
554	651	522
555	651	520
556	652	519
557	653	517
558	654	516
559	655	514
560	656	513
561	656	511
562	657	510
563	658	508
564	659	507
565	659	505
566	660	504
567	661	502
568	661	501
569	662	499
570	663	498
571	664	497
572	664	495
573	665	494
574	666	492
575	667	491
576	667	489
577	668	488
578	669	486
579	670	485
580	671	484
581	672	482
582	673	481
583	673	479
584	674	478
585	675	477
586	675	475
587	676	474
588	677	472
589	678	471
590	678	469
591	679	468
592	680	466
593	681	465
594	681	464
595	682	462
596	683	461
597	683	459
598	684	458
599	686	457
600	687	456
601	688	454
602	688	453
603	689	452
604	690	450
605	691	449
606	691	447
607	692	446
608	693	445
609	693	443
610	694	442
611	695	440
612	696	439
613	696	438
614	697	436
615	698	435
616	699	434
617	700	432
618	700	431
619	701	430
620	702	428
621	703	427
622	703	425
623	704	424
624	705	423
625	706	421
626	706	420
627	707	419
628	708	417
629	708	416
630	709	415
631	710	413
632	711	412
633	711	410
634	712	409
635	713	408
636	714	407
637	716	406
638	717	405
639	717	403
640	718	402
641	719	401
642	720	399
643	720	398
644	721	397
645	722	395
646	723	394
647	723	393
648	724	391
649	725	390
650	726	389
651	726	387
652	727	386
653	728	385
654	729	384
655	730	382
656	730	381
657	731	380
658	732	378
659	733	377
660	733	376
661	734	375
662	735	373
663	735	372
664	736	371
665	737	369
666	738	368
667	738	367
668	739	365
669	740	364
670	740	363
671	741	361
672	742	360
673	743	359
674	743	358
675	744	357
676	745	355
677	746	354
678	747	353
679	747	351
680	748	350
681	749	349
682	750	348
683	750	346
684	751	345
685	752	344
686	753	343
687	753	341
688	754	340
689	755	339
690	755	338
691	756	336
692	757	335
693	758	334
694	759	333
695	760	332
696	761	330
697	761	329
698	762	328
699	763	327
700	763	325
701	764	324
702	765	323
703	766	322
704	766	320
705	767	319
706	768	318
707	769	317
708	769	315
709	770	314
710	771	313
711	771	312
712	772	310
713	773	309
714	774	308
715	775	307
716	776	306
717	776	305
718	777	303
719	778	302
720	779	301
721	779	300
722	780	299
723	781	297
724	782	296
725	782	295
726	783	294
727	784	293
728	784	291
729	785	290
730	786	289
731	787	288
732	788	287
733	788	285
734	789	284
735	790	283
736	791	282
737	792	281
738	792	279
739	793	278
740	794	277
741	795	276
742	795	275
743	796	274
744	797	272
745	797	271
746	798	270
747	799	269
748	800	268
749	800	266
750	801	265
751	802	264
752	804	263
753	804	262
754	805	261
755	806	260
756	807	259
757	807	257
758	808	256
759	809	255
760	810	254
761	810	253
762	811	252
763	812	250
764	813	249
765	813	248
766	814	247
767	815	246
768	816	245
769	817	244
770	818	243
771	819	241
772	820	240
773	820	239
774	821	238
775	822	237
776	823	236
777	823	235
778	824	233
779	825	232
780	825	231
781	826	230
782	827	229
783	828	228
784	828	227
785	829	225
786	830	224
787	831	223
788	831	222
789	832	221
790	833	220
791	834	219
792	835	218
793	836	216
794	837	215
795	837	214
796	838	213
797	839	212
798	839	211
799	840	210
800	841	209
801	842	207
802	842	206
803	843	205
804	844	204
805	844	203
806	845	202
807	846	201
808	847	200
809	848	198
810	849	197
811	849	196
812	850	195
813	851	194
814	852	193
815	852	192
816	853	191
817	854	190
818	854	188
819	855	187
820	856	186
821	857	185
822	858	184
823	858	183
824	859	182
825	860	181
826	861	180
827	862	179
828	863	178
829	864	177
830	865	175
831	865	174
832	866	173
833	867	172
834	867	171
835	868	170
836	869	169
837	870	168
838	870	167
839	871	165
840	872	164
841	872	163
842	873	162
843	874	161
844	875	160
845	875	159
846	876	158
847	877	157
848	878	156
849	879	155
850	879	154
851	880	152
852	881	151
853	882	150
854	882	149
855	883	148
856	884	147
857	885	146
858	885	145
859	886	144
860	887	143
861	887	142
862	888	141
863	889	139
864	890	138
865	890	137
866	891	136
867	892	135
868	893	134
869	894	133
870	895	132
871	895	131
872	896	130
873	897	129
